,country_name,latitude,longitude,continent_name,country_code2
0,India,19.08168,72.84734,Asia,IN
1,Czech Republic,50.22141,12.18832,Europe,CZ
2,India,12.96677,77.58003,Asia,IN
3,Israel,32.10359,34.89604,Asia,IL
4,United States,27.95131,-82.45613,North America,US
5,United Kingdom,51.60999,-0.24436,Europe,GB
6,United States,44.64166,-67.76464,North America,US
7,Sweden,59.40443,17.95701,Europe,SE
8,Israel,32.10359,34.89604,Asia,IL
9,United Kingdom,55.86392,-4.24745,Europe,GB
10,Canada,43.67131,-79.37982,North America,CA
11,Poland,52.20803,20.94596,Europe,PL
12,Germany,53.08323,8.78804,Europe,DE
13,India,18.99269,72.83093,Asia,IN
